customerid,is_male,is_senior,has_partner,has_dependents,tenure,has_phone_service,has_multiple_lines,internetservice,has_internet,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,is_paperless,paymentmethod,monthlycharges,totalcharges,churn
6217-KDYWC,t,f,f,t,57,t,f,No,f,,,,,,,Two year,t,Mailed check,19.60,1170.55,f
0390-DCFDQ,f,t,t,f,1,t,f,Fiber optic,t,No,No,No,No,No,No,Month-to-month,t,Mailed check,70.45,70.45,t
3146-MSEGF,f,t,t,t,72,t,t,DSL,t,Yes,Yes,Yes,Yes,Yes,Yes,Two year,t,Credit card (automatic),88.05,6425.65,f
4080-OGPJL,f,f,f,f,8,t,t,DSL,t,Yes,No,No,Yes,No,Yes,Month-to-month,f,Electronic check,71.15,563.65,t
1095-WGNGG,f,f,t,f,61,t,t,Fiber optic,t,No,Yes,No,No,Yes,Yes,Two year,t,Bank transfer (automatic),101.05,5971.25,f
2636-SJDOU,t,f,f,f,64,t,t,Fiber optic,t,Yes,Yes,No,No,No,No,One year,t,Credit card (automatic),84.30,5289.05,f
1131-QQZEB,t,t,t,f,71,t,t,No,f,,,,,,,Two year,f,Bank transfer (automatic),23.95,1756.20,f
5716-EZXZN,f,f,t,t,65,t,t,Fiber optic,t,Yes,Yes,No,Yes,Yes,No,Two year,t,Credit card (automatic),99.05,6416.70,f
6837-BJYDQ,t,f,f,f,3,t,f,No,f,,,,,,,One year,f,Mailed check,19.60,61.35,f
2135-RXIHG,t,f,f,f,1,t,f,DSL,t,No,No,No,No,No,No,Month-to-month,t,Electronic check,45.65,45.65,t
6440-DKQGE,t,f,f,t,30,t,f,DSL,t,No,Yes,Yes,No,Yes,No,One year,f,Credit card (automatic),64.50,1929.95,f
3466-BYAVD,t,f,t,t,15,t,f,DSL,t,No,Yes,Yes,Yes,No,Yes,Month-to-month,t,Mailed check,69.50,1071.40,f
3780-YVMFA,f,f,t,t,8,t,f,DSL,t,No,No,No,Yes,Yes,Yes,Month-to-month,t,Electronic check,68.55,564.35,f
3874-EQOEP,t,f,f,f,7,t,t,Fiber optic,t,No,No,No,No,Yes,Yes,Month-to-month,f,Mailed check,95.00,655.50,t
1679-JRFBR,f,f,t,t,70,t,t,Fiber optic,t,Yes,Yes,Yes,No,Yes,Yes,One year,t,Credit card (automatic),108.15,7930.55,f
9073-ZZIAY,t,f,t,t,62,t,f,DSL,t,Yes,Yes,Yes,Yes,Yes,Yes,Two year,f,Electronic check,86.10,5215.25,f
3077-RSNTJ,f,f,t,t,6,t,f,No,f,,,,,,,Month-to-month,f,Mailed check,19.70,113.50,f
6551-GNYDG,f,f,t,t,14,t,f,Fiber optic,t,No,No,No,No,No,Yes,Month-to-month,t,Bank transfer (automatic),80.90,1152.80,f
9167-APMXZ,f,f,f,f,22,t,t,Fiber optic,t,No,No,No,No,Yes,No,Month-to-month,t,Bank transfer (automatic),84.15,1821.95,f
2749-CTKAJ,t,f,t,t,22,t,f,No,f,,,,,,,One year,f,Mailed check,20.15,419.90,f
6371-NZYEG,t,f,t,t,16,t,f,DSL,t,Yes,No,Yes,No,Yes,No,Two year,f,Mailed check,64.25,1024.00,f
7554-NEWDD,t,f,f,f,10,t,t,No,f,,,,,,,Two year,f,Bank transfer (automatic),25.70,251.60,f
8992-VONJD,f,f,f,t,13,t,f,DSL,t,Yes,Yes,No,No,No,No,Month-to-month,t,Electronic check,56.00,764.55,f
0867-MKZVY,f,f,t,f,20,t,t,Fiber optic,t,Yes,No,No,No,No,No,Month-to-month,f,Electronic check,82.40,1592.35,t
4482-EWFMI,f,f,f,f,2,t,f,Fiber optic,t,No,No,No,No,No,No,Month-to-month,t,Electronic check,69.70,135.20,f
4648-YPBTM,t,f,f,f,53,t,t,DSL,t,No,Yes,Yes,Yes,No,Yes,Two year,t,Bank transfer (automatic),73.90,3958.25,f
2907-ILJBN,f,f,t,t,11,t,f,No,f,,,,,,,One year,f,Mailed check,20.60,233.90,f
6345-FZOQH,t,f,t,f,69,t,f,No,f,,,,,,,Two year,f,Mailed check,19.90,1363.45,f
3376-BMGFE,f,f,f,f,4,t,f,Fiber optic,t,No,No,No,No,No,No,Month-to-month,t,Bank transfer (automatic),70.90,273.00,t
5997-OPVFA,t,f,t,f,72,t,t,DSL,t,Yes,Yes,Yes,Yes,Yes,Yes,Two year,t,Bank transfer (automatic),89.05,6254.45,f
3445-HXXGF,t,t,t,f,58,f,,DSL,t,No,Yes,Yes,No,No,Yes,Month-to-month,t,Electronic check,45.30,2651.20,t
1159-WFSGR,f,f,t,t,16,t,f,No,f,,,,,,,Month-to-month,f,Electronic check,20.40,321.40,f
7654-YWJUF,t,f,t,f,43,t,f,Fiber optic,t,Yes,No,Yes,Yes,No,No,One year,t,Bank transfer (automatic),84.25,3539.25,f
1875-QIVME,f,f,t,f,2,t,t,Fiber optic,t,No,No,Yes,Yes,Yes,Yes,Month-to-month,t,Electronic check,104.40,242.80,t
6727-IOTLZ,t,f,t,f,14,t,f,DSL,t,No,Yes,Yes,Yes,Yes,Yes,Two year,f,Mailed check,81.95,1181.75,f
0691-JVSYA,f,f,t,f,53,t,f,Fiber optic,t,No,No,Yes,No,Yes,Yes,One year,t,Bank transfer (automatic),94.85,5000.20,t
5918-VUKWP,f,f,f,f,32,t,f,No,f,,,,,,,One year,f,Bank transfer (automatic),20.55,654.55,f
1744-JHKYS,f,f,t,f,34,t,t,No,f,,,,,,,Month-to-month,f,Electronic check,24.70,780.20,f
2656-FMOKZ,f,t,f,f,15,t,t,Fiber optic,t,No,No,No,No,No,No,Month-to-month,t,Mailed check,74.45,1145.70,t
2070-FNEXE,f,t,f,f,7,t,f,Fiber optic,t,Yes,No,No,No,No,No,Month-to-month,f,Bank transfer (automatic),76.45,503.60,t
5947-SGKCL,f,f,t,t,15,t,t,Fiber optic,t,No,Yes,Yes,No,Yes,Yes,Month-to-month,t,Bank transfer (automatic),105.35,1559.25,f
3712-PKXZA,t,f,t,f,61,t,f,No,f,,,,,,,One year,t,Credit card (automatic),20.55,1252.00,f
6317-YPKDH,f,f,f,f,1,f,,DSL,t,No,Yes,No,No,No,No,Month-to-month,f,Bank transfer (automatic),29.95,29.95,t
6582-OIVSP,f,f,f,f,1,t,f,DSL,t,No,No,No,No,No,No,Month-to-month,f,Mailed check,45.30,45.30,f
9367-WXLCH,t,f,f,f,8,t,t,Fiber optic,t,No,No,No,No,No,Yes,Month-to-month,f,Bank transfer (automatic),84.50,662.65,t
5524-KHNJP,t,f,t,t,33,t,f,DSL,t,Yes,No,Yes,No,Yes,Yes,One year,f,Credit card (automatic),74.75,2453.30,f
1918-ZBFQJ,f,f,f,f,13,t,f,Fiber optic,t,No,Yes,Yes,No,No,No,Month-to-month,t,Electronic check,79.25,1111.65,t
1024-GUALD,f,f,t,f,1,f,,DSL,t,No,No,No,No,No,No,Month-to-month,t,Electronic check,24.80,24.80,t
4827-USJHP,t,f,f,f,20,t,f,DSL,t,No,Yes,No,No,No,No,Month-to-month,t,Mailed check,51.80,1023.85,f
8167-GJLRN,t,f,f,f,3,f,,DSL,t,No,No,No,Yes,No,No,Month-to-month,f,Electronic check,30.40,82.15,f
0956-SYCWG,f,f,f,f,13,t,f,No,f,,,,,,,One year,f,Electronic check,19.65,244.80,f
8017-UVSZU,f,f,t,f,40,t,t,DSL,t,No,Yes,No,No,No,No,Month-to-month,f,Credit card (automatic),56.60,2379.10,f
7100-FQPRV,t,f,t,t,43,t,t,DSL,t,Yes,No,No,Yes,No,Yes,One year,t,Credit card (automatic),71.90,3173.35,f
2472-OVKUP,t,f,t,f,6,t,f,Fiber optic,t,No,Yes,Yes,No,No,Yes,Month-to-month,t,Electronic check,91.00,531.00,t
2984-RGEYA,f,f,t,t,69,t,f,No,f,,,,,,,Two year,f,Bank transfer (automatic),19.75,1375.40,f
9680-NIAUV,f,f,t,t,72,t,t,Fiber optic,t,Yes,Yes,Yes,No,Yes,Yes,Two year,f,Credit card (automatic),109.70,8129.30,f
2146-EGVDT,t,f,t,t,59,t,f,No,f,,,,,,,Two year,f,Credit card (automatic),19.30,1192.70,f
